bfs_nr,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot
1,2023,18.2,42.4,252,126.6,7.5,1995,86111,859000000,0.0,5232.0,83.0,4,2.0,37.5,213.0,Aeugst am Albis,ZH,0,999.0
2,2023,27.2,33.2,849,67.8,3.7,12812,60095,314000000,35.3,50424.0,81.0,32,2.6,26.1,263.0,Affoltern am Albis,ZH,18,15.9
3,2023,21.5,37.4,524,93.3,4.9,5657,73784,365000000,35.6,11292.0,75.0,27,4.8,23.5,202.0,Bonstetten,ZH,3,55.7
4,2023,18.5,39.7,405,104.6,5.0,3962,72055,479000000,0.0,7439.0,89.0,19,4.9,27.8,238.0,Hausen am Albis,ZH,4,30.8
5,2023,22.7,38.4,343,88.8,4.9,3941,78570,496000000,75.2,9127.0,73.0,23,6.0,27.4,259.0,Hedingen,ZH,0,999.0
6,2023,19.2,40.7,133,100.7,4.7,1322,72970,453000000,0.0,2982.0,97.0,6,4.5,32.1,208.0,Kappel am Albis,ZH,0,999.0
7,2023,21.1,37.7,201,83.4,6.3,2440,72943,378000000,0.0,5706.0,86.0,10,4.1,39.4,490.0,Knonau,ZH,0,999.0
8,2023,17.9,42.2,62,96.3,4.7,642,58041,425000000,0.0,2006.0,97.0,3,4.7,33.3,188.0,Maschwanden,ZH,0,999.0
9,2023,22.4,35.4,471,83.7,4.9,5683,73738,525000000,53.4,16742.0,89.0,18,3.2,28.2,277.0,Mettmenstetten,ZH,12,15.3
10,2023,24.4,34.7,513,88.8,4.7,5842,65390,355000000,0.0,18486.0,91.0,41,7.1,29.7,211.0,Obfelden,ZH,20,9.0
11,2023,21.7,35.7,334,117.3,4.6,2950,73323,438000000,0.0,7695.0,89.0,10,3.5,28.4,197.0,Ottenbach,ZH,2,52.5
12,2023,14.1,40.8,111,96.5,6.8,1145,75248,499000000,0.0,2528.0,90.0,6,5.2,47.6,210.0,Rifferswil,ZH,0,999.0
13,2023,19.7,39.7,459,119.1,5.6,3861,84284,538000000,3.1,8598.0,71.0,32,8.3,33.0,221.0,Stallikon,ZH,1,142.0
14,2023,18.3,37.6,476,90.1,7.3,5306,98510,726000000,14.4,9854.0,82.0,29,5.5,35.0,151.0,Wettswil am Albis,ZH,0,999.0
22,2023,22.0,38.4,94,111.0,3.8,849,70346,683000000,0.0,3443.0,94.0,7,8.3,38.9,287.0,Benken,ZH,1,22.0
23,2023,18.6,39.1,90,152.0,2.3,601,97830,1898000000,0.0,1881.0,92.0,3,5.1,22.2,203.0,Berg am Irchel,ZH,0,999.0
24,2023,21.9,37.3,133,128.1,5.8,1032,67982,464000000,0.0,2710.0,93.0,9,8.7,15.6,143.0,Buch am Irchel,ZH,0,999.0
25,2023,19.9,38.8,225,115.3,6.1,1974,67553,429000000,75.0,4043.0,75.0,8,4.1,30.2,307.0,Dachsen,ZH,0,999.0
26,2023,24.0,38.7,110,154.5,4.5,721,67550,403000000,0.0,2157.0,90.0,8,11.2,25.0,219.0,Dorf,ZH,0,999.0
27,2023,23.9,36.6,342,90.8,3.0,3811,60018,297000000,0.0,9039.0,92.0,16,4.2,16.4,165.0,Feuerthalen,ZH,3,30.7
28,2023,24.9,35.7,163,110.6,4.9,1489,66223,408000000,0.0,4777.0,93.0,10,6.8,23.1,249.0,Flaach,ZH,0,999.0
29,2023,21.5,39.2,128,84.5,5.6,1510,73682,518000000,0.0,3924.0,96.0,4,2.6,46.7,376.0,Flurlingen,ZH,0,999.0
31,2023,20.8,36.8,191,84.6,4.7,2318,65723,408000000,67.7,5410.0,76.0,11,4.9,33.3,320.0,Henggart,ZH,2,32.0
33,2023,20.6,37.8,273,128.1,3.3,2191,65382,402000000,18.0,10766.0,95.0,20,9.4,23.7,550.0,Kleinandelfingen,ZH,2,26.0
34,2023,18.6,41.2,213,119.7,5.8,1810,77603,684000000,0.8,4801.0,94.0,14,7.9,34.1,242.0,Laufen-Uhwiesen,ZH,8,9.0
35,2023,21.9,35.4,230,118.1,3.0,1948,67851,453000000,46.6,7958.0,86.0,11,5.6,21.4,436.0,Marthalen,ZH,0,999.0
37,2023,23.7,36.1,148,86.5,2.6,1697,59639,340000000,63.4,4882.0,92.0,7,4.1,26.5,349.0,Ossingen,ZH,1,37.0
38,2023,19.5,38.8,146,113.6,3.4,1284,60282,337000000,0.0,4378.0,84.0,7,5.4,33.3,207.0,Rheinau,ZH,2,16.0
39,2023,19.2,40.4,155,158.3,4.6,1027,64296,387000000,3.3,2773.0,94.0,12,12.3,34.4,237.0,Thalheim an der Thur,ZH,0,999.0
