Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,electric_car_charging_spot_count,electric_cars_per_charging_spot,Ranking Gesamt [Punkte],bfs_nr,municipality,Rangliste
0.32999999999999996,5.390000000000001,3.8699999999999997,2.15,4.2,9.8,8.200000000000001,0.08,15.0,5.0,0.1,0.1,54.220000000000006,1,Aeugst am Albis,70.0
2.37,0.56,0.39,0.8500000000000001,0.9299999999999999,6.4,28.8,0.24,8.1,8.1,1.7000000000000002,8.200000000000001,66.64,2,Affoltern am Albis,7.0
1.1099999999999999,2.87,2.13,1.4500000000000002,3.57,6.2,14.4,1.12,5.7,4.1000000000000005,0.4,2.6,45.65,3,Bonstetten,121.0
0.39,4.2700000000000005,2.85,1.5,3.12,9.8,10.4,1.16,9.9,6.6000000000000005,0.5,4.800000000000001,55.28999999999999,4,Hausen am Albis,60.0
1.44,3.5700000000000003,1.74,1.4500000000000002,3.9299999999999997,1.0,12.200000000000001,1.56,9.6,7.800000000000001,0.1,0.1,44.489999999999995,5,Hedingen,124.0
0.54,4.760000000000001,2.58,1.35,3.2399999999999998,9.8,4.0,1.0,12.9,4.5,0.1,0.1,44.870000000000005,6,Kappel am Albis,123.0
0.99,3.08,1.29,1.9500000000000002,3.21,9.8,9.4,0.84,15.75,11.100000000000001,0.1,0.1,57.61000000000001,7,Knonau,47.0
0.27,5.32,2.31,1.35,0.6,9.8,2.2,1.08,13.65,3.2,0.1,0.1,39.980000000000004,8,Maschwanden,140.0
1.3499999999999999,1.54,1.3499999999999999,1.4500000000000002,3.54,3.9000000000000004,20.200000000000003,0.48,10.35,8.6,1.3,8.4,62.46,9,Mettmenstetten,17.0
1.8599999999999999,1.1900000000000002,1.74,1.35,2.01,9.8,21.200000000000003,1.92,11.549999999999999,4.800000000000001,1.9000000000000001,9.600000000000001,68.92,10,Obfelden,4.0
1.17,1.7500000000000002,3.51,1.3,3.3899999999999997,9.8,10.8,0.6,10.5,3.8000000000000003,0.30000000000000004,2.8000000000000003,49.71999999999999,11,Ottenbach,95.0
0.03,4.83,2.37,2.0500000000000003,3.6599999999999997,9.8,3.0,1.24,16.349999999999998,4.7,0.1,0.1,48.230000000000004,12,Rifferswil,105.0
0.69,4.2700000000000005,3.63,1.75,4.08,9.0,11.600000000000001,2.16,13.5,5.5,0.2,0.4,56.78000000000001,13,Stallikon,52.0
0.36,3.0100000000000002,1.8599999999999999,2.1,4.5,8.200000000000001,13.200000000000001,1.36,14.399999999999999,1.2000000000000002,0.1,0.1,50.39000000000001,14,Wettswil am Albis,93.0
1.26,3.5700000000000003,3.3,0.9,2.9699999999999998,9.8,5.4,2.16,15.6,9.0,0.2,6.4,60.56,22,Benken,25.0
0.42,3.99,4.2299999999999995,0.2,4.47,9.8,1.6,1.2,4.5,4.2,0.1,0.1,34.81,23,Berg am Irchel,154.0
1.23,2.8000000000000003,3.96,1.8,2.61,9.8,3.6,2.24,1.2,0.6000000000000001,0.1,0.1,30.04000000000001,24,Buch am Irchel,157.0
0.72,3.8500000000000005,3.48,1.9000000000000001,2.46,1.1,6.4,0.84,12.0,9.5,0.1,0.1,42.45,25,Dachsen,131.0
1.7999999999999998,3.7800000000000002,4.26,1.25,2.4299999999999997,9.8,2.4000000000000004,2.52,7.199999999999999,5.300000000000001,0.1,0.1,40.94,26,Dorf,137.0
1.77,2.3800000000000003,1.89,0.55,0.8999999999999999,9.8,12.0,0.88,1.5,1.9000000000000001,0.4,4.9,38.87,27,Feuerthalen,143.0
1.98,1.7500000000000002,3.2399999999999998,1.4500000000000002,2.13,9.8,7.2,1.84,5.25,7.4,0.1,0.1,42.24,28,Flaach,132.0
1.1099999999999999,4.0600000000000005,1.41,1.75,3.51,9.8,6.0,0.24,16.2,10.3,0.1,0.1,54.58,29,Flurlingen,66.0
0.8999999999999999,2.5200000000000005,1.44,1.35,2.04,1.9000000000000001,8.6,1.16,13.65,9.700000000000001,0.30000000000000004,4.6000000000000005,48.160000000000004,31,Henggart,107.0
0.84,3.1500000000000004,3.96,0.65,1.98,7.800000000000001,13.600000000000001,2.32,6.0,11.3,0.30000000000000004,5.4,57.300000000000004,33,Kleinandelfingen,49.0
0.42,5.040000000000001,3.6599999999999997,1.8,3.8699999999999997,9.1,7.4,2.08,13.95,6.9,0.9,9.600000000000001,64.72,34,Laufen-Uhwiesen,12.0
1.23,1.54,3.57,0.55,2.58,5.300000000000001,11.4,1.4000000000000001,4.05,10.9,0.1,0.1,42.720000000000006,35,Marthalen,130.0
1.71,2.0300000000000002,1.56,0.35000000000000003,0.87,2.2,7.6000000000000005,0.84,8.7,10.100000000000001,0.2,3.8000000000000003,39.96,37,Ossingen,141.0
0.63,3.8500000000000005,3.3899999999999997,0.7000000000000001,0.96,9.8,6.800000000000001,1.32,13.65,4.4,0.30000000000000004,8.1,53.9,38,Rheinau,74.0
0.54,4.69,4.29,1.3,1.77,8.9,3.8000000000000003,2.6,14.1,6.5,0.1,0.1,48.690000000000005,39,Thalheim an der Thur,102.0
0.96,1.9600000000000002,3.84,1.3,0.78,9.8,8.4,0.32,15.6,4.9,0.1,0.1,48.06,40,Trüllikon,108.0
0.69,4.62,2.1,2.0500000000000003,0.72,9.8,0.6000000000000001,1.72,16.5,7.2,0.1,0.1,46.20000000000001,41,Truttikon,120.0
