BFS_NR,GEBIET_NAME,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] 
1,Aeugst a.A.,2019,18.5,43.8,237,119.8,1.3,1981,93918,814000000,0.0,5232.0,83.0,12,6.1,9.3,214.0
1,Aeugst a.A.,2020,18.7,43.8,263,132.8,2.4,2011,88390,767000000,0.0,5232.0,83.0,16,8.1,20.7,215.0
1,Aeugst a.A.,2021,18.6,43.3,258,128.3,3.4,1986,86312,782000000,0.0,5232.0,83.0,14,7.0,12.1,213.0
1,Aeugst a.A.,2022,18.4,42.4,265,133.4,5.2,1991,86111,859000000,0.0,5232.0,83.0,12,6.0,36.7,213.0
1,Aeugst a.A.,2023,18.2,42.4,252,126.6,7.5,1995,86111,859000000,0.0,5232.0,83.0,4,2.0,37.5,213.0
2,Affoltern a.A.,2019,28.2,33.5,761,62.4,0.9,12309,58556,261000000,35.3,50424.0,81.0,43,3.5,4.7,262.0
2,Affoltern a.A.,2020,27.9,33.5,841,68.3,1.2,12246,60816,268000000,35.3,50424.0,81.0,47,3.8,7.4,265.0
2,Affoltern a.A.,2021,27.8,33.5,872,71.2,1.6,12358,60345,300000000,35.3,50424.0,81.0,51,4.2,9.5,264.0
2,Affoltern a.A.,2022,27.8,33.1,861,69.7,2.7,12524,60095,314000000,35.3,50424.0,81.0,36,2.9,27.6,263.0
2,Affoltern a.A.,2023,27.2,33.2,849,67.8,3.7,12812,60095,314000000,35.3,50424.0,81.0,32,2.6,26.1,263.0
3,Bonstetten,2019,22.9,36.9,478,86.3,1.0,5576,74336,370000000,35.6,11292.0,75.0,25,4.5,6.0,199.0
3,Bonstetten,2020,22.5,36.8,506,90.7,1.3,5610,76263,368000000,35.6,11292.0,75.0,35,6.3,6.1,204.0
3,Bonstetten,2021,22.5,37.0,527,93.9,2.6,5632,73247,359000000,35.6,11292.0,75.0,43,7.7,21.0,202.0
3,Bonstetten,2022,21.9,37.3,542,96.2,3.6,5619,73784,365000000,35.6,11292.0,75.0,23,4.1,30.4,202.0
3,Bonstetten,2023,21.5,37.4,524,93.3,4.9,5657,73784,365000000,35.6,11292.0,75.0,27,4.8,23.5,202.0
4,Hausen a.A.,2019,19.2,40.6,365,98.8,1.2,3749,69795,385000000,0.0,7439.0,89.0,18,4.9,2.0,238.0
